distance_km,traffic_hours,vehicle_avg_speed,vehicle_type,road_condition,weather_condition,actual_time_minutes,route_from,route_to,road_type
6.36,4.38,25.85,bus,fair,cloudy,16.93,Kathmandu,Patan,city
23.75,8.84,33.36,scooter,good,clear,82.98,Bhairahawa,Butwal,terai
34.62,23.91,53.38,bus,good,clear,37.47,Dharan,Biratnagar,highway
192.13,19.47,62.1,bus,poor,clear,301.82,Kathmandu,Pokhara,highway
24.16,1.74,43.5,microbus,fair,clear,42.48,Bhairahawa,Butwal,terai
134.44,22.78,53.66,scooter,fair,clear,167.55,Kathmandu,Birgunj,highway
8.24,23.67,16.86,bus,fair,fog,60.32,Biratnagar,Itahari,city
71.18,12.78,42.55,scooter,good,dust,134.31,Birgunj,Hetauda,terai
15.51,4.52,22.97,scooter,excellent,clear,40.51,Pokhara,Lekhnath,city
39.34,15.53,35.75,motorcycle,good,clear,106.44,Dharan,Dhankuta,hill
35.59,6.65,38.86,scooter,good,rain,75.84,Biratnagar,Dharan,terai
142.66,22.21,56.43,jeep,excellent,clear,127.1,Kathmandu,Birgunj,highway
35.59,18.29,55.37,microbus,fair,clear,64.36,Biratnagar,Dharan,terai
30.59,0.08,28.05,jeep,fair,rain,167.64,Kathmandu,Nagarkot,hill
15.87,12.57,12.33,bus,fair,rain,174.4,Pokhara,Lekhnath,city
31.23,21.06,38.73,car,fair,cloudy,85.78,Kathmandu,Nagarkot,hill
60.56,5.26,42.79,scooter,fair,rain,167.35,Birgunj,Hetauda,terai
14.34,21.97,19.71,microbus,good,clear,70.67,Pokhara,Lekhnath,city
383.66,2.44,55.12,truck,fair,rain,880.71,Kathmandu,Dharan,highway
113.71,3.74,48.67,microbus,fair,rain,242.69,Pokhara,Butwal,highway
7.07,17.42,17.03,scooter,fair,cloudy,62.08,Kathmandu,Patan,city
12.0,21.69,35.77,motorcycle,good,cloudy,36.22,Pokhara,Sarangkot,hill
29.92,11.19,35.67,motorcycle,good,clear,66.4,Kathmandu,Dhulikhel,hill
59.03,23.54,42.74,truck,good,clear,117.45,Birgunj,Hetauda,terai
40.19,1.22,25.7,scooter,poor,cloudy,262.66,Dharan,Dhankuta,hill
32.15,9.21,62.27,motorcycle,excellent,dust,41.98,Dharan,Biratnagar,highway
68.73,5.26,57.9,microbus,good,cloudy,80.65,Birgunj,Hetauda,terai
139.53,20.04,45.92,scooter,good,cloudy,184.44,Kathmandu,Birgunj,highway
136.49,20.26,64.96,microbus,good,dust,163.29,Kathmandu,Birgunj,highway
144.12,19.55,53.06,microbus,poor,fog,352.55,Kathmandu,Chitwan,highway
42.78,20.47,26.64,car,fair,clear,175.2,Dharan,Dhankuta,hill
13.43,2.1,27.93,microbus,good,dust,41.1,Kathmandu,Bhaktapur,city
123.25,14.54,43.78,bus,fair,clear,222.69,Kathmandu,Birgunj,highway
33.88,20.32,28.38,jeep,good,cloudy,182.14,Kathmandu,Nagarkot,hill
36.61,7.26,45.22,jeep,good,clear,71.02,Biratnagar,Dharan,terai
44.06,16.97,28.17,jeep,poor,fog,382.3,Dharan,Dhankuta,hill
122.95,18.49,54.74,jeep,good,clear,179.46,Pokhara,Butwal,highway
34.54,22.79,38.39,truck,poor,clear,96.66,Dharan,Biratnagar,highway
34.71,20.03,28.89,microbus,good,fog,122.83,Kathmandu,Nagarkot,hill
37.2,13.11,49.95,motorcycle,poor,fog,89.72,Biratnagar,Dharan,terai
39.29,15.74,38.7,car,excellent,clear,136.75,Dharan,Dhankuta,hill
35.97,1.83,56.81,microbus,poor,dust,70.88,Biratnagar,Dharan,terai
31.71,8.55,32.06,car,good,clear,213.17,Kathmandu,Dhulikhel,hill
193.61,9.34,47.23,truck,fair,cloudy,368.38,Kathmandu,Pokhara,highway
12.22,1.01,20.64,motorcycle,fair,dust,54.99,Kathmandu,Bhaktapur,city
65.7,13.23,40.14,truck,fair,fog,173.11,Birgunj,Hetauda,terai
29.04,9.88,44.5,car,good,cloudy,140.95,Kathmandu,Dhulikhel,hill
126.91,13.97,56.95,car,good,rain,411.12,Pokhara,Butwal,highway
433.26,6.45,54.11,car,excellent,clear,869.49,Kathmandu,Dharan,highway
282.2,0.4,61.08,microbus,excellent,dust,304.78,Kathmandu,Bhairahawa,highway
6.57,12.66,14.18,bus,poor,fog,69.69,Kathmandu,Patan,city
132.86,13.92,51.72,jeep,fair,dust,196.7,Pokhara,Butwal,highway
34.63,3.53,66.21,jeep,poor,dust,48.88,Dharan,Biratnagar,highway
29.62,6.05,37.7,motorcycle,excellent,rain,91.2,Kathmandu,Dhulikhel,hill
36.32,6.61,86.8,motorcycle,good,cloudy,39.03,Dharan,Biratnagar,highway
23.32,17.91,46.57,car,poor,clear,65.2,Bhairahawa,Butwal,terai
193.1,16.54,43.81,scooter,good,clear,327.98,Kathmandu,Pokhara,highway
37.73,7.79,45.06,truck,good,clear,68.78,Dharan,Biratnagar,highway
34.59,3.26,45.33,jeep,good,clear,52.44,Biratnagar,Dharan,terai
29.08,16.53,19.84,scooter,fair,clear,200.58,Kathmandu,Nagarkot,hill
113.17,2.34,60.44,jeep,fair,clear,127.46,Pokhara,Butwal,highway
34.07,18.15,44.24,truck,fair,cloudy,78.6,Dharan,Biratnagar,highway
14.19,19.49,23.42,bus,fair,clear,46.41,Pokhara,Lekhnath,city
7.65,6.24,28.5,microbus,fair,clear,19.25,Biratnagar,Itahari,city
7.57,13.93,28.2,jeep,excellent,clear,17.38,Kathmandu,Patan,city
143.86,1.06,83.06,motorcycle,good,cloudy,98.92,Kathmandu,Birgunj,highway
211.2,18.6,45.65,jeep,fair,clear,460.0,Kathmandu,Pokhara,highway
208.77,23.71,49.1,bus,excellent,rain,436.78,Kathmandu,Pokhara,highway
22.54,1.02,62.39,motorcycle,fair,clear,36.79,Bhairahawa,Butwal,terai
30.07,23.77,30.58,bus,good,cloudy,138.9,Kathmandu,Dhulikhel,hill
20.61,1.55,52.04,bus,poor,cloudy,44.25,Bhairahawa,Butwal,terai
34.15,18.32,48.6,scooter,good,clear,52.39,Dharan,Biratnagar,highway
131.44,17.4,44.05,scooter,excellent,clear,242.57,Kathmandu,Birgunj,highway
12.58,16.39,15.07,bus,poor,clear,133.27,Kathmandu,Bhaktapur,city
36.38,12.44,52.17,truck,good,clear,80.39,Biratnagar,Dharan,terai
30.52,21.19,32.89,car,good,rain,99.17,Kathmandu,Dhulikhel,hill
46.2,0.94,46.31,motorcycle,fair,fog,129.8,Dharan,Dhankuta,hill
219.89,0.71,60.04,car,good,clear,226.06,Kathmandu,Pokhara,highway
215.29,16.32,67.14,motorcycle,fair,fog,398.96,Kathmandu,Pokhara,highway
141.93,9.77,63.28,microbus,good,cloudy,315.19,Kathmandu,Birgunj,highway
13.34,18.66,15.8,bus,poor,cloudy,241.35,Kathmandu,Bhaktapur,city
446.73,18.3,60.08,motorcycle,good,fog,720.44,Kathmandu,Dharan,highway
36.01,3.42,59.16,microbus,fair,cloudy,44.85,Biratnagar,Dharan,terai
132.5,5.08,55.11,jeep,fair,clear,179.44,Kathmandu,Birgunj,highway
8.79,13.98,19.6,microbus,fair,cloudy,47.89,Biratnagar,Itahari,city
7.34,12.53,21.85,microbus,good,rain,40.32,Biratnagar,Itahari,city
30.68,3.39,36.39,motorcycle,fair,clear,93.94,Kathmandu,Nagarkot,hill
22.47,7.82,54.05,jeep,good,fog,49.36,Bhairahawa,Butwal,terai
14.52,13.18,23.01,truck,good,rain,61.61,Pokhara,Lekhnath,city
142.2,19.37,53.72,bus,poor,clear,230.14,Kathmandu,Birgunj,highway
28.81,16.02,23.58,scooter,good,clear,116.25,Kathmandu,Nagarkot,hill
27.48,15.11,42.16,car,good,cloudy,55.29,Kathmandu,Dhulikhel,hill
12.72,1.4,46.98,motorcycle,fair,rain,53.53,Pokhara,Sarangkot,hill
27.14,22.47,32.1,jeep,excellent,clear,90.23,Kathmandu,Dhulikhel,hill
129.45,1.89,42.51,microbus,excellent,cloudy,172.99,Pokhara,Butwal,highway
152.6,4.05,41.78,scooter,excellent,cloudy,209.66,Kathmandu,Chitwan,highway
67.17,4.09,39.85,microbus,fair,clear,135.25,Birgunj,Hetauda,terai
7.57,10.22,14.72,truck,fair,fog,66.52,Biratnagar,Itahari,city
14.71,22.24,24.07,car,fair,rain,66.02,Pokhara,Lekhnath,city
12.55,3.82,31.43,motorcycle,fair,fog,46.95,Kathmandu,Bhaktapur,city
8.41,22.91,18.77,scooter,fair,clear,37.06,Biratnagar,Itahari,city
34.53,17.25,56.06,jeep,fair,cloudy,64.03,Biratnagar,Dharan,terai
151.7,10.59,62.17,bus,good,cloudy,171.18,Kathmandu,Chitwan,highway
66.44,11.81,34.12,scooter,fair,rain,242.18,Birgunj,Hetauda,terai
31.16,16.69,38.27,car,poor,cloudy,161.49,Kathmandu,Nagarkot,hill
6.57,8.47,20.42,truck,good,cloudy,31.79,Kathmandu,Patan,city
119.02,16.42,44.48,bus,fair,dust,311.1,Pokhara,Butwal,highway
34.31,22.54,36.2,car,good,clear,82.31,Kathmandu,Nagarkot,hill
295.78,21.44,50.48,truck,poor,fog,713.62,Kathmandu,Bhairahawa,highway
265.47,7.86,56.5,car,good,fog,573.52,Kathmandu,Bhairahawa,highway
263.09,18.47,51.06,car,good,cloudy,470.9,Kathmandu,Bhairahawa,highway
37.5,8.36,57.17,microbus,poor,rain,142.79,Biratnagar,Dharan,terai
42.09,23.59,27.53,jeep,fair,cloudy,178.86,Dharan,Dhankuta,hill
146.68,0.15,51.29,car,fair,rain,321.48,Kathmandu,Birgunj,highway
58.94,4.9,50.08,jeep,fair,clear,85.28,Birgunj,Hetauda,terai
8.35,7.02,19.79,motorcycle,excellent,rain,84.18,Biratnagar,Itahari,city
388.61,14.55,52.02,truck,fair,clear,652.86,Kathmandu,Dharan,highway
7.48,4.33,19.68,bus,good,dust,26.25,Biratnagar,Itahari,city
33.19,2.45,58.73,car,good,dust,38.92,Biratnagar,Dharan,terai
116.81,13.83,54.1,scooter,good,rain,220.94,Pokhara,Butwal,highway
33.85,20.53,20.34,scooter,fair,clear,163.6,Kathmandu,Nagarkot,hill
66.45,17.39,57.23,microbus,fair,clear,107.28,Birgunj,Hetauda,terai
38.96,22.82,20.9,scooter,excellent,cloudy,160.32,Dharan,Dhankuta,hill
22.02,20.72,59.11,motorcycle,good,rain,38.3,Bhairahawa,Butwal,terai
12.31,9.3,41.29,car,poor,clear,64.13,Pokhara,Sarangkot,hill
13.43,2.22,20.88,microbus,fair,cloudy,51.07,Kathmandu,Bhaktapur,city
124.62,3.78,52.95,truck,fair,cloudy,187.4,Kathmandu,Birgunj,highway
141.02,15.87,50.96,scooter,poor,dust,287.61,Kathmandu,Birgunj,highway
142.14,6.77,52.7,car,excellent,rain,221.12,Kathmandu,Birgunj,highway
14.29,8.4,34.97,motorcycle,excellent,rain,56.33,Kathmandu,Bhaktapur,city
34.47,8.61,52.95,bus,good,clear,52.49,Dharan,Biratnagar,highway
136.26,14.86,78.72,motorcycle,poor,cloudy,214.11,Kathmandu,Chitwan,highway
188.87,17.04,40.78,bus,excellent,cloudy,425.17,Kathmandu,Pokhara,highway
12.44,20.24,17.02,microbus,fair,rain,73.71,Kathmandu,Bhaktapur,city
272.21,6.63,64.67,car,good,cloudy,270.62,Kathmandu,Bhairahawa,highway
7.36,1.29,17.63,jeep,excellent,fog,32.98,Biratnagar,Itahari,city
12.86,16.87,14.05,scooter,excellent,cloudy,98.07,Kathmandu,Bhaktapur,city
123.63,14.04,40.05,scooter,excellent,clear,155.39,Kathmandu,Birgunj,highway
27.22,17.97,29.37,bus,fair,clear,127.5,Kathmandu,Dhulikhel,hill
13.38,14.34,47.94,motorcycle,good,clear,24.9,Pokhara,Sarangkot,hill
62.23,1.18,65.2,motorcycle,good,cloudy,63.24,Birgunj,Hetauda,terai
27.99,10.33,25.01,jeep,good,cloudy,111.92,Kathmandu,Dhulikhel,hill
397.76,16.42,51.34,truck,fair,rain,1441.88,Kathmandu,Dharan,highway
459.52,22.26,47.3,bus,excellent,clear,582.51,Kathmandu,Dharan,highway
143.63,7.68,47.53,jeep,fair,clear,256.81,Kathmandu,Chitwan,highway
20.46,17.42,65.41,motorcycle,poor,rain,80.5,Bhairahawa,Butwal,terai
13.45,19.4,25.31,scooter,good,cloudy,54.17,Pokhara,Sarangkot,hill
33.24,6.35,39.01,scooter,good,cloudy,78.47,Biratnagar,Dharan,terai
30.5,9.6,31.53,jeep,fair,clear,132.75,Kathmandu,Nagarkot,hill
31.09,18.12,26.46,scooter,good,cloudy,137.69,Kathmandu,Nagarkot,hill
121.51,22.94,44.3,truck,excellent,cloudy,175.26,Pokhara,Butwal,highway
442.88,3.04,54.27,bus,fair,rain,906.08,Kathmandu,Dharan,highway
43.03,22.05,29.28,jeep,good,rain,178.63,Dharan,Dhankuta,hill
32.87,19.28,27.21,car,fair,cloudy,113.68,Kathmandu,Dhulikhel,hill
36.77,13.32,55.2,motorcycle,good,dust,47.83,Biratnagar,Dharan,terai
28.07,7.04,49.47,motorcycle,fair,cloudy,75.63,Kathmandu,Dhulikhel,hill
42.32,0.7,44.72,motorcycle,good,dust,88.84,Dharan,Dhankuta,hill
11.84,9.51,29.66,bus,good,clear,44.4,Pokhara,Sarangkot,hill
42.95,9.36,26.58,car,good,clear,213.8,Dharan,Dhankuta,hill
67.74,23.79,42.41,microbus,excellent,clear,98.78,Birgunj,Hetauda,terai
298.07,1.28,40.28,scooter,fair,cloudy,565.7,Kathmandu,Bhairahawa,highway
124.83,13.37,42.73,truck,good,clear,203.85,Kathmandu,Birgunj,highway
255.2,4.64,71.59,jeep,good,rain,398.72,Kathmandu,Bhairahawa,highway
124.73,0.74,56.23,truck,fair,clear,140.92,Pokhara,Butwal,highway
142.69,23.85,50.79,microbus,fair,clear,206.35,Kathmandu,Chitwan,highway
21.06,21.71,41.72,truck,poor,clear,49.91,Bhairahawa,Butwal,terai
32.25,15.4,57.5,jeep,fair,clear,43.35,Biratnagar,Dharan,terai
145.39,18.34,36.28,scooter,poor,cloudy,573.34,Kathmandu,Birgunj,highway
28.05,3.17,35.39,microbus,fair,clear,67.19,Kathmandu,Dhulikhel,hill
23.87,17.07,47.67,scooter,good,clear,36.47,Bhairahawa,Butwal,terai
37.94,16.23,49.19,jeep,excellent,fog,84.44,Biratnagar,Dharan,terai
62.09,18.79,49.8,truck,fair,clear,108.96,Birgunj,Hetauda,terai
32.66,22.85,22.81,scooter,fair,clear,135.03,Kathmandu,Dhulikhel,hill
35.12,0.04,39.42,motorcycle,excellent,rain,111.98,Kathmandu,Nagarkot,hill
6.52,14.56,11.48,truck,good,rain,57.32,Kathmandu,Patan,city
425.83,21.51,70.8,car,good,fog,426.63,Kathmandu,Dharan,highway
210.44,23.52,42.74,scooter,excellent,fog,361.26,Kathmandu,Pokhara,highway
36.21,20.03,34.03,scooter,excellent,cloudy,66.49,Biratnagar,Dharan,terai
12.39,3.16,19.55,truck,fair,cloudy,57.56,Kathmandu,Bhaktapur,city
431.1,5.27,69.26,jeep,good,clear,353.27,Kathmandu,Dharan,highway
22.67,21.89,34.7,scooter,fair,clear,46.38,Bhairahawa,Butwal,terai
134.07,13.78,68.31,car,fair,dust,143.13,Kathmandu,Chitwan,highway
7.31,10.32,22.89,bus,excellent,cloudy,22.94,Biratnagar,Itahari,city
35.51,20.76,58.98,motorcycle,fair,dust,56.46,Biratnagar,Dharan,terai
380.98,7.97,51.47,microbus,fair,clear,1402.97,Kathmandu,Dharan,highway
143.24,6.55,44.14,scooter,fair,clear,273.57,Kathmandu,Chitwan,highway
12.76,3.31,31.62,car,excellent,fog,45.42,Pokhara,Sarangkot,hill
38.7,11.84,28.07,jeep,excellent,clear,101.2,Dharan,Dhankuta,hill
116.7,0.57,61.77,jeep,poor,rain,263.95,Pokhara,Butwal,highway
131.71,20.63,55.78,truck,poor,clear,251.9,Kathmandu,Chitwan,highway
159.31,11.81,47.47,truck,good,clear,222.62,Kathmandu,Chitwan,highway
38.29,18.54,56.1,car,poor,clear,100.39,Dharan,Biratnagar,highway
45.2,14.79,37.57,microbus,good,dust,135.39,Dharan,Dhankuta,hill
31.91,13.12,50.38,jeep,good,fog,62.17,Biratnagar,Dharan,terai
180.11,11.77,80.04,motorcycle,fair,cloudy,155.1,Kathmandu,Pokhara,highway
149.73,15.87,49.75,scooter,excellent,clear,314.68,Kathmandu,Chitwan,highway
20.91,0.33,47.21,car,good,cloudy,56.39,Bhairahawa,Butwal,terai
114.69,14.24,51.19,scooter,good,clear,158.31,Pokhara,Butwal,highway
207.8,3.02,58.78,motorcycle,fair,clear,403.56,Kathmandu,Pokhara,highway
67.9,16.47,33.15,scooter,excellent,cloudy,157.9,Birgunj,Hetauda,terai
152.1,18.0,45.14,truck,good,rain,464.58,Kathmandu,Chitwan,highway
150.59,23.88,46.79,microbus,fair,clear,250.45,Kathmandu,Chitwan,highway
36.62,22.18,49.31,truck,excellent,dust,52.75,Dharan,Biratnagar,highway
127.41,3.15,56.85,jeep,good,cloudy,153.82,Kathmandu,Birgunj,highway
141.46,19.03,66.34,microbus,good,cloudy,223.06,Kathmandu,Chitwan,highway
7.51,0.98,22.64,microbus,poor,clear,28.25,Kathmandu,Patan,city
58.68,1.34,64.82,motorcycle,good,rain,98.24,Birgunj,Hetauda,terai
13.72,18.79,30.5,bus,good,cloudy,50.67,Pokhara,Sarangkot,hill
252.37,23.24,45.19,bus,good,dust,431.98,Kathmandu,Bhairahawa,highway
288.19,22.32,58.81,microbus,fair,clear,343.21,Kathmandu,Bhairahawa,highway
13.43,8.75,16.57,microbus,good,dust,95.75,Kathmandu,Bhaktapur,city
7.58,13.52,19.99,bus,fair,rain,57.86,Kathmandu,Patan,city
6.84,17.47,18.79,truck,poor,clear,80.63,Kathmandu,Patan,city
39.36,9.57,26.74,microbus,poor,clear,254.89,Dharan,Dhankuta,hill
11.84,16.02,30.41,bus,fair,cloudy,52.37,Pokhara,Sarangkot,hill
181.2,15.49,48.29,jeep,poor,fog,634.82,Kathmandu,Pokhara,highway
16.17,12.13,22.21,motorcycle,fair,fog,90.04,Pokhara,Lekhnath,city
7.94,3.17,25.31,motorcycle,good,clear,19.25,Biratnagar,Itahari,city
43.25,15.79,25.73,car,poor,rain,339.83,Dharan,Dhankuta,hill
7.04,15.05,24.89,car,good,clear,20.07,Kathmandu,Patan,city
12.03,8.96,15.43,scooter,poor,cloudy,166.06,Kathmandu,Bhaktapur,city
33.8,5.41,28.44,microbus,excellent,dust,134.3,Kathmandu,Nagarkot,hill
60.12,9.51,48.9,bus,poor,cloudy,227.1,Birgunj,Hetauda,terai
6.97,7.78,15.19,truck,excellent,dust,66.01,Kathmandu,Patan,city
140.87,15.95,62.05,jeep,good,dust,164.51,Kathmandu,Birgunj,highway
29.23,15.54,18.28,scooter,good,cloudy,232.17,Kathmandu,Nagarkot,hill
23.25,15.93,50.38,microbus,fair,clear,31.44,Bhairahawa,Butwal,terai
384.51,18.39,54.24,jeep,good,cloudy,677.25,Kathmandu,Dharan,highway
123.36,3.8,52.13,car,poor,clear,359.31,Pokhara,Butwal,highway
21.89,1.78,62.99,motorcycle,good,fog,33.3,Bhairahawa,Butwal,terai
34.18,22.45,34.83,jeep,poor,cloudy,97.77,Kathmandu,Nagarkot,hill
407.57,0.56,51.67,bus,good,clear,502.73,Kathmandu,Dharan,highway
8.15,22.15,23.4,car,good,cloudy,23.09,Biratnagar,Itahari,city
136.57,10.59,76.48,car,fair,clear,134.56,Pokhara,Butwal,highway
12.31,1.88,29.83,bus,poor,rain,95.14,Pokhara,Sarangkot,hill
31.71,18.99,29.79,bus,good,clear,140.79,Kathmandu,Dhulikhel,hill
32.7,5.39,37.24,scooter,good,cloudy,67.89,Biratnagar,Dharan,terai
7.41,16.58,32.21,car,fair,cloudy,38.86,Biratnagar,Itahari,city
30.4,20.35,47.94,motorcycle,excellent,clear,77.47,Kathmandu,Dhulikhel,hill
43.08,20.14,36.11,car,good,fog,133.02,Dharan,Dhankuta,hill
14.01,4.57,30.97,motorcycle,fair,clear,42.6,Pokhara,Sarangkot,hill
37.32,0.78,50.66,truck,poor,rain,106.54,Biratnagar,Dharan,terai
28.13,0.9,35.56,microbus,excellent,clear,66.26,Kathmandu,Dhulikhel,hill
32.43,23.85,51.66,scooter,excellent,clear,33.9,Dharan,Biratnagar,highway
7.78,19.57,35.33,motorcycle,excellent,rain,20.6,Biratnagar,Itahari,city
31.9,4.09,29.34,car,fair,clear,124.81,Kathmandu,Dhulikhel,hill
11.85,19.54,20.94,jeep,fair,fog,65.72,Kathmandu,Bhaktapur,city
27.3,8.63,20.68,scooter,poor,clear,227.12,Kathmandu,Dhulikhel,hill
32.49,17.39,37.35,microbus,good,clear,96.9,Kathmandu,Dhulikhel,hill
150.95,21.37,63.63,car,excellent,cloudy,131.84,Kathmandu,Chitwan,highway
59.83,4.21,75.5,motorcycle,fair,clear,56.03,Birgunj,Hetauda,terai
37.86,17.75,70.77,car,fair,dust,53.64,Dharan,Biratnagar,highway
13.3,9.06,20.08,scooter,excellent,clear,71.72,Kathmandu,Bhaktapur,city
64.66,19.07,57.63,microbus,fair,clear,87.54,Birgunj,Hetauda,terai
14.16,3.64,17.05,bus,fair,clear,59.74,Pokhara,Lekhnath,city
30.74,0.65,32.42,jeep,excellent,cloudy,72.4,Kathmandu,Dhulikhel,hill
132.05,8.93,52.27,bus,poor,rain,418.53,Pokhara,Butwal,highway
14.27,17.99,31.3,truck,excellent,clear,57.62,Pokhara,Sarangkot,hill
280.27,17.37,50.05,microbus,good,clear,476.3,Kathmandu,Bhairahawa,highway
70.69,22.0,45.02,scooter,fair,clear,121.91,Birgunj,Hetauda,terai
31.64,5.26,61.11,motorcycle,excellent,rain,63.88,Biratnagar,Dharan,terai
23.76,13.19,68.38,car,fair,dust,30.93,Bhairahawa,Butwal,terai
29.93,13.33,36.24,microbus,fair,rain,166.36,Kathmandu,Nagarkot,hill
7.37,10.41,27.44,bus,excellent,clear,19.08,Biratnagar,Itahari,city
422.38,7.81,54.07,truck,fair,dust,886.87,Kathmandu,Dharan,highway
28.48,1.8,29.19,microbus,good,clear,81.84,Kathmandu,Dhulikhel,hill
140.44,9.04,70.74,jeep,good,rain,276.35,Kathmandu,Birgunj,highway
15.38,0.22,32.74,motorcycle,poor,fog,62.35,Pokhara,Lekhnath,city
36.97,10.97,55.79,jeep,good,rain,71.35,Biratnagar,Dharan,terai
39.53,17.59,28.82,scooter,excellent,cloudy,186.19,Dharan,Dhankuta,hill
7.26,9.6,18.93,scooter,excellent,clear,41.88,Biratnagar,Itahari,city
35.36,14.85,51.16,jeep,fair,dust,62.1,Biratnagar,Dharan,terai
6.44,21.32,20.2,truck,fair,fog,33.13,Kathmandu,Patan,city
70.38,21.89,43.16,jeep,good,rain,310.41,Birgunj,Hetauda,terai
6.98,15.96,28.79,motorcycle,poor,clear,28.56,Kathmandu,Patan,city
115.62,0.19,47.99,microbus,fair,clear,192.05,Pokhara,Butwal,highway
32.22,7.5,45.77,motorcycle,poor,clear,113.0,Kathmandu,Nagarkot,hill
34.71,15.36,39.96,jeep,good,rain,112.79,Kathmandu,Nagarkot,hill
38.65,2.77,22.09,scooter,good,clear,131.03,Dharan,Dhankuta,hill
12.84,12.69,37.86,jeep,good,clear,27.35,Pokhara,Sarangkot,hill
13.75,18.89,17.12,jeep,fair,fog,172.86,Pokhara,Lekhnath,city
34.54,7.58,52.84,car,excellent,clear,49.38,Biratnagar,Dharan,terai
12.43,9.15,39.7,car,good,fog,51.9,Pokhara,Sarangkot,hill
149.2,13.8,38.15,truck,excellent,cloudy,234.6,Kathmandu,Chitwan,highway
12.14,7.07,31.78,bus,fair,cloudy,61.49,Pokhara,Sarangkot,hill
20.36,12.43,66.06,car,excellent,clear,18.72,Bhairahawa,Butwal,terai
416.82,22.22,50.56,truck,good,dust,616.46,Kathmandu,Dharan,highway
35.2,8.2,83.01,motorcycle,excellent,cloudy,38.02,Dharan,Biratnagar,highway
133.33,10.68,35.99,scooter,good,rain,442.37,Pokhara,Butwal,highway
39.44,16.15,39.92,car,excellent,clear,169.99,Dharan,Dhankuta,hill
37.08,20.53,43.27,jeep,good,fog,63.08,Biratnagar,Dharan,terai
13.03,14.38,13.93,scooter,good,clear,65.63,Kathmandu,Bhaktapur,city
7.45,5.74,29.0,motorcycle,good,clear,14.18,Kathmandu,Patan,city
6.87,8.23,17.76,microbus,fair,rain,79.36,Kathmandu,Patan,city
12.76,6.37,35.41,bus,excellent,clear,22.04,Pokhara,Sarangkot,hill
32.59,19.05,36.51,car,fair,clear,100.95,Kathmandu,Nagarkot,hill
32.23,18.1,21.79,bus,fair,rain,444.14,Kathmandu,Dhulikhel,hill
31.65,18.37,29.06,car,poor,clear,362.23,Kathmandu,Dhulikhel,hill
204.2,14.94,78.26,car,good,rain,249.79,Kathmandu,Pokhara,highway
429.34,17.37,50.81,bus,excellent,cloudy,975.29,Kathmandu,Dharan,highway
67.79,7.43,61.28,jeep,excellent,clear,87.12,Birgunj,Hetauda,terai
13.76,4.45,30.3,car,poor,cloudy,94.5,Pokhara,Sarangkot,hill
158.68,3.63,50.95,car,good,clear,198.67,Kathmandu,Chitwan,highway
130.51,19.14,50.78,car,good,clear,145.35,Kathmandu,Birgunj,highway
126.51,0.6,43.21,truck,poor,fog,423.6,Kathmandu,Birgunj,highway
143.78,18.22,60.56,bus,poor,clear,309.16,Kathmandu,Birgunj,highway
13.63,10.7,25.87,truck,good,clear,50.46,Pokhara,Sarangkot,hill
32.69,19.84,29.35,bus,good,clear,87.29,Kathmandu,Dhulikhel,hill
37.69,6.12,38.99,scooter,poor,rain,140.46,Biratnagar,Dharan,terai
278.95,11.77,52.77,scooter,excellent,cloudy,298.57,Kathmandu,Bhairahawa,highway
30.58,6.45,33.45,motorcycle,poor,cloudy,109.51,Kathmandu,Nagarkot,hill
194.37,7.89,61.91,microbus,excellent,clear,247.14,Kathmandu,Pokhara,highway
261.37,9.74,50.69,car,poor,clear,874.09,Kathmandu,Bhairahawa,highway
142.74,13.0,54.09,jeep,fair,fog,271.82,Kathmandu,Chitwan,highway
296.47,17.35,66.8,microbus,excellent,cloudy,550.53,Kathmandu,Bhairahawa,highway
182.74,4.88,42.88,truck,good,clear,246.29,Kathmandu,Pokhara,highway
212.4,16.95,54.12,scooter,fair,dust,472.1,Kathmandu,Pokhara,highway
45.4,11.22,32.44,truck,fair,clear,104.8,Dharan,Dhankuta,hill
16.31,15.07,20.72,truck,good,clear,55.88,Pokhara,Lekhnath,city
7.34,2.15,29.83,jeep,good,clear,16.1,Biratnagar,Itahari,city
28.87,17.4,30.48,bus,poor,cloudy,155.45,Kathmandu,Dhulikhel,hill
128.51,8.39,57.74,motorcycle,poor,clear,374.14,Kathmandu,Birgunj,highway
14.12,18.79,27.3,microbus,good,dust,76.19,Kathmandu,Bhaktapur,city
34.03,0.88,74.19,car,good,clear,27.7,Dharan,Biratnagar,highway
406.25,15.29,43.19,truck,fair,clear,716.63,Kathmandu,Dharan,highway
35.35,12.74,56.35,motorcycle,poor,cloudy,72.17,Biratnagar,Dharan,terai
6.66,18.57,25.55,bus,fair,clear,30.23,Kathmandu,Patan,city
21.67,19.76,48.8,microbus,excellent,cloudy,36.05,Bhairahawa,Butwal,terai
158.8,5.03,81.84,motorcycle,good,clear,113.65,Kathmandu,Chitwan,highway
152.48,6.2,48.61,scooter,fair,clear,206.69,Kathmandu,Chitwan,highway
22.77,20.08,44.53,scooter,good,rain,42.88,Bhairahawa,Butwal,terai
6.65,11.76,25.71,car,good,clear,22.38,Kathmandu,Patan,city
131.83,15.63,68.44,jeep,good,clear,110.53,Kathmandu,Chitwan,highway
58.76,19.21,55.86,jeep,excellent,cloudy,62.57,Birgunj,Hetauda,terai
